Time,Race,Gender,Body_Size,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Spectacles,Age_Range,Washer_No,Dryer_No,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,Date,tempmax,tempmin,humidity,description,icon
20:17:50,malay,male,moderate,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,no,-0.97914299743404,-1.3293431116593248,1.383455398600185,-1.0956687535371732,-0.3066551490904681,-1.1752892924805223,-1.97435427677715,0.21973100860395087,-1.2484397436426835,2015-10-19,-0.8049932429424648,0.9542346951841775,0.5121895724896501,Cloudy skies throughout the day.,cloudy
20:28:42,chinese,male,thin,no,no_kids,big,green,casual,white,short_sleeve,blue_jeans,long,blankets,no,-0.6358198573337588,1.3337816529336473,0.4836470092667311,-1.1655865138396735,0.8738183131849746,1.6200444047186184,-1.8446406747715796,0.07228189218126471,1.2569704751366941,2015-10-19,-0.8049932429424648,0.9542346951841775,0.5121895724896501,Cloudy skies throughout the day.,cloudy
20:58:31,malay,female,moderate,no,no_kids,big,blue,casual,red,short_sleeve,black,long,blankets,no,-0.8074814273838994,-0.44163485679500086,1.383455398600185,-1.2355042741421738,-0.3066551490904681,-0.243511393414142,-1.6788024653721312,1.0080221804741647,-1.2484397436426835,2015-10-19,-0.8049932429424648,0.9542346951841775,0.5121895724896501,Cloudy skies throughout the day.,cloudy
21:31:28,indian,male,thin,no,no_kids,big,black,casual,black,short_sleeve,yellow,short,clothes,no,0.9949650581425769,0.44607339806932317,0.4836470092667311,-1.5850930756546755,-0.3066551490904681,0.45532203088564316,-1.4956113564656164,0.011978443416908456,-1.2484397436426835,2015-10-19,-0.8049932429424648,0.9542346951841775,0.5121895724896501,Cloudy skies throughout the day.,cloudy
21:40:28,indian,male,moderate,no,no_kids,big,blue,casual,blue,short_sleeve,white,long,clothes,yes,-0.4641582872836182,-1.3293431116593248,0.4836470092667311,-1.445257555049675,-0.8968918802281894,-0.243511393414142,-2.086208720276834,0.25258227850275694,1.2569704751366941,2015-10-19,-0.8049932429424648,0.9542346951841775,0.5121895724896501,Cloudy skies throughout the day.,cloudy
23:45:38,chinese,male,fat,no,no_kids,big,yellow,casual,brown,longsleeve,blue_jeans,long,clothes,no,0.9091342731175066,-0.44163485679500086,-0.4161613800667227,-0.04690234899966789,1.464055044322696,0.45532203088564316,-1.7681562939289939,0.843543936895606,1.2569704751366941,2015-10-19,-0.8049932429424648,0.9542346951841775,0.5121895724896501,Cloudy skies throughout the day.,cloudy
23:53:38,foreigner,female,fat,no,no_kids,big,pink,traditional,blue,longsleeve,black,long,clothes,no,0.4799803479921551,0.44607339806932317,1.383455398600185,-0.3964911505121696,0.28358158204725326,0.6882665056522382,-1.2300709181466205,0.3840211894834005,0.004265365747005315,2015-10-19,-0.8049932429424648,0.9542346951841775,0.5121895724896501,Cloudy skies throughout the day.,cloudy
0:24:01,indian,male,thin,no,baby,big,blue,casual,white,short_sleeve,brown,long,clothes,yes,0.8233034880924363,-1.3293431116593248,0.4836470092667311,0.7221930143278359,-1.4871286113659108,0.45532203088564316,-1.4796663684662865,1.101124161978198,1.2569704751366941,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
0:45:19,indian,male,thin,no,no_kids,small,purple,casual,black,short_sleeve,black,short,blankets,no,-0.8074814273838994,1.3337816529336473,1.383455398600185,1.7010416585628407,0.8738183131849746,0.6882665056522382,-1.4271531074383665,0.6775791024574906,0.004265365747005315,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
1:17:50,chinese,male,moderate,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,clothes,no,-0.5499890723086884,0.44607339806932317,-1.3159697694001764,-0.8859154726296721,-1.4871286113659108,-0.9423448177139272,-2.0215827967497724,0.3080378888012533,1.2569704751366941,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
3:07:16,indian,female,thin,no,no_kids,big,red,casual,blue,short_sleeve,grey,short,clothes,no,0.4799803479921551,-0.44163485679500086,-0.4161613800667227,1.4213706173528393,-0.3066551490904681,1.6200444047186184,-1.2778087395858355,0.1637400663894549,1.2569704751366941,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
7:23:12,malay,male,moderate,no,no_kids,big,blue,casual,brown,short_sleeve,grey,long,blankets,no,-0.2066659322084073,-0.44163485679500086,-0.4161613800667227,-4.967955668355753e-16,1.464055044322696,0.9212109804188333,-1.3399608949466346,0.7485812292151518,1.2569704751366941,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
7:23:12,malay,female,moderate,no,no_kids,big,blue,casual,blue,longsleeve,blue_jeans,long,clothes,no,0.0,-1.3293431116593248,-1.3159697694001764,-1.445257555049675,-0.8968918802281894,-1.6411782420137124,-1.7649228381097213,0.5512218645156411,1.2569704751366941,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
9:06:14,chinese,male,moderate,no,no_kids,big,yellow,casual,yellow,short_sleeve,black,long,clothes,yes,-0.6358198573337588,-1.3293431116593248,0.4836470092667311,-1.445257555049675,-0.3066551490904681,-1.6411782420137124,-1.6077815801137725,0.7695158912597022,-1.2484397436426835,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
10:05:17,malay,female,moderate,yes,young,big,red,formal,brown,longsleeve,grey,long,clothes,yes,1.338288198242858,-1.3293431116593248,-0.4161613800667227,-0.8859154726296721,-0.8968918802281894,-0.7094003429473321,-1.6311552941964513,0.08353381282388511,1.2569704751366941,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
10:41:35,chinese,male,thin,no,no_kids,big,brown,formal,purple,longsleeve,brown,long,clothes,no,-0.5499890723086884,0.44607339806932317,0.4836470092667311,0.2327686922103335,-1.4871286113659108,-1.1752892924805223,-1.402410346509455,0.4061071136595886,-1.2484397436426835,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
10:49:31,malay,female,thin,yes,toddler,big,blue,casual,brown,longsleeve,grey,long,clothes,no,1.338288198242858,-0.44163485679500086,-1.3159697694001764,0.7221930143278359,0.0,-0.7094003429473321,-1.233553869052964,0.26116151972851104,-1.2484397436426835,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
10:57:47,malay,male,fat,yes,toddler,big,grey,traditional,grey,longsleeve,grey,long,clothes,no,0.0,0.44607339806932317,0.4836470092667311,1.2116173364453384,0.28358158204725326,0.0,-1.8568536368671824,0.32019032131007974,0.0,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
11:13:26,malay,female,fat,yes,toddler,big,blue,traditional,grey,longsleeve,orange,long,clothes,no,1.338288198242858,1.3337816529336473,-1.3159697694001764,0.8620285349328366,-0.3066551490904681,0.45532203088564316,-1.581505122639354,0.9830128266156787,-1.2484397436426835,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
11:19:20,malay,female,moderate,yes,young,big,pink,casual,green,longsleeve,grey,long,clothes,no,0.9091342731175066,0.44607339806932317,1.383455398600185,-0.04690234899966789,0.0,-1.4082337672471172,-1.934138594092796,0.25663308933903245,0.004265365747005315,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
11:27:26,indian,male,fat,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,no,-0.4641582872836182,-1.3293431116593248,1.383455398600185,-4.967955668355753e-16,1.464055044322696,0.6882665056522382,-1.573168379051749,0.4628552818740469,-1.2484397436426835,2015-10-20,-1.7179722127100059,-0.14820800366294354,1.1010216014760863,Cloudy skies throughout the day.,fog
